"Statistic","CensusYear","Age Group","County and City","Socio Economic Group","Labour Force","UNIT","VALUE"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","F. Semi-skilled","All unemployed persons","Number","1790"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","3486"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","G. Unskilled","All persons aged 15 years and over","Number","5735"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","G. Unskilled","Persons at work","Number","3230"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","G. Unskilled","All unemployed persons","Number","999"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","G. Unskilled","All persons aged 15 years and over not in labour force","Number","1506"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","H. Own account workers","All persons aged 15 years and over","Number","9322"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","H. Own account workers","Persons at work","Number","5882"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","H. Own account workers","All unemployed persons","Number","839"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","H. Own account workers","All persons aged 15 years and over not in labour force","Number","2601"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","I. Farmers","All persons aged 15 years and over","Number","1253"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","I. Farmers","Persons at work","Number","660"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","I. Farmers","All unemployed persons","Number","44"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","I. Farmers","All persons aged 15 years and over not in labour force","Number","549"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","J. Agricultural workers","All persons aged 15 years and over","Number","696"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","J. Agricultural workers","Persons at work","Number","414"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","J. Agricultural workers","All unemployed persons","Number","92"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","190"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","30866"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","Z. All others gainfully occupied and unknown","Persons at work","Number","5656"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","Z. All others gainfully occupied and unknown","All unemployed persons","Number","7507"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","17703"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","All socio-economic groups","All persons aged 15 years and over","Number","203924"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","All socio-economic groups","Persons at work","Number","106534"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","All socio-economic groups","All unemployed persons","Number","26039"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","71351"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","A. Employers and managers","All persons aged 15 years and over","Number","32000"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","A. Employers and managers","Persons at work","Number","18681"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","A. Employers and managers","All unemployed persons","Number","1945"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","11374"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","B. Higher professional","All persons aged 15 years and over","Number","11566"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","B. Higher professional","Persons at work","Number","7651"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","B. Higher professional","All unemployed persons","Number","563"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","B. Higher professional","All persons aged 15 years and over not in labour force","Number","3352"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","C. Lower professional","All persons aged 15 years and over","Number","23345"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","C. Lower professional","Persons at work","Number","15756"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","C. Lower professional","All unemployed persons","Number","1057"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","C. Lower professional","All persons aged 15 years and over not in labour force","Number","6532"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","D. Non-manual","All persons aged 15 years and over","Number","49023"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","D. Non-manual","Persons at work","Number","31614"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","D. Non-manual","All unemployed persons","Number","4672"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","D. Non-manual","All persons aged 15 years and over not in labour force","Number","12737"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","E. Manual skilled","All persons aged 15 years and over","Number","20306"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","E. Manual skilled","Persons at work","Number","8929"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","E. Manual skilled","All unemployed persons","Number","4319"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","7058"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","F. Semi-skilled","All persons aged 15 years and over","Number","16951"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","F. Semi-skilled","Persons at work","Number","9510"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","F. Semi-skilled","All unemployed persons","Number","2453"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","4988"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","G. Unskilled","All persons aged 15 years and over","Number","6910"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","G. Unskilled","Persons at work","Number","3374"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","G. Unskilled","All unemployed persons","Number","1310"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","G. Unskilled","All persons aged 15 years and over not in labour force","Number","2226"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","H. Own account workers","All persons aged 15 years and over","Number","10116"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","H. Own account workers","Persons at work","Number","5908"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","H. Own account workers","All unemployed persons","Number","1007"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","H. Own account workers","All persons aged 15 years and over not in labour force","Number","3201"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","I. Farmers","All persons aged 15 years and over","Number","300"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","I. Farmers","Persons at work","Number","141"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","I. Farmers","All unemployed persons","Number","18"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","I. Farmers","All persons aged 15 years and over not in labour force","Number","141"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","J. Agricultural workers","All persons aged 15 years and over","Number","184"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","J. Agricultural workers","Persons at work","Number","106"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","J. Agricultural workers","All unemployed persons","Number","15"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","63"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","33223"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","Z. All others gainfully occupied and unknown","Persons at work","Number","4864"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","Z. All others gainfully occupied and unknown","All unemployed persons","Number","8680"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","South Dublin","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","19679"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Kildare","All socio-economic groups","All persons aged 15 years and over","Number","158744"
